position_on_chr12	signal
411574	0.51005916168584
411575	0.506011746468318
411576	0.461637847476106
411577	0.469928663802637
411578	0.475857517557578
411579	0.490077187639049
411580	0.481850903054069
411581	0.479874618469089
411582	0.467857533170096
411583	0.461769301626044
411584	0.459728485299513
411585	0.4559376845855
411586	0.445896883871489
411587	0.445896883871489
411588	0.443856067544958
411589	0.421703335484392
411590	0.413412519157861
411591	0.431517836000906
411592	0.425267836000905
411593	0.421315266830945
411594	0.417233634177884
411595	0.397022969266758
411596	0.407128301722321
411597	0.384749269464256
411598	0.366962708199434
411599	0.366962708199434
411600	0.369068056267515
411601	0.375061441764006
411602	0.389858872594046
411603	0.397957606158618
411604	0.404015523396659
411605	0.420144555654724
411606	0.419758877668114
411607	0.403950991655109
411608	0.361973272670027
411609	0.351997003697564
411610	0.341891671242002
411611	0.345908772153513
411612	0.347820524996942
411613	0.357895543146495
411614	0.371953444772018
411615	0.363695333418335
411616	0.370009865159886
411617	0.400227113349484
411618	0.397992701798302
411619	0.42970571053871
411620	0.429578159518302
411621	0.429513627776751
411622	0.42543199512369
411623	0.419664909824698
411624	0.434270257892779
411625	0.428276872396287
411626	0.428212340654737
411627	0.428212340654737
411628	0.432293973307798
411629	0.446642706872371
411630	0.454578159518302
411631	0.444438609627199
411632	0.45036746338214
411633	0.452826662668127
411634	0.430383098668512
411635	0.448326647055609
411636	0.432035846341596
411637	0.426204229301054
411638	0.418139713172022
411639	0.41405808051896
411640	0.41201726419243
411641	0.442268729817568
411642	0.448262115314059
411643	0.44842149310317
411644	0.454350346858111
411645	0.435762115314059
411646	0.429190969069
411647	0.444867400932067
411648	0.446714622033947
411649	0.448818457639335
411650	0.460900074679879
411651	0.462842141829319
411652	0.458730194870247
411653	0.452480194870247
411654	0.452189362931198
411655	0.456077400359608
411656	0.429650952884022
411657	0.433603522053983
411658	0.437394322767996
411659	0.449252030277877
411660	0.449252030277877
411661	0.451163783121307
411662	0.446890067706287
411663	0.452849235767238
411664	0.452978299250339
411665	0.447113977236949
411666	0.441056059998907
411667	0.439079775413927
411668	0.445200711930826
411669	0.441248142760865
411670	0.45540089043395
411671	0.445295557978387
411672	0.432987640740346
411673	0.406753276026718
411674	0.410705845196679
411675	0.404583396217087
411676	0.406559680802067
411677	0.396163516407456
411678	0.392308183951893
411679	0.396196221380303
411680	0.394155405053773
411681	0.406013112563653
411682	0.399698580822103
411683	0.395746011652143
411684	0.397786827978673
411685	0.383019711454645
411686	0.388948565209585
411687	0.380528685399953
411688	0.376511584488443
411689	0.370004969984934
411690	0.35776397515528
411691	0.357410123937373
411692	0.359129794018844
411693	0.359129794018844
411694	0.355240244127742
411695	0.338531060454273
411696	0.318354612978687
411697	0.322371713890197
411698	0.318290081237136
411699	0.32823754836628
411700	0.332575795522851
411701	0.326552095720349
411702	0.332349495325352
411703	0.342553576958004
411704	0.348641808502057
411705	0.342327276760507
411706	0.344432624828587
411707	0.344529861542985
411708	0.354570662256998
411709	0.359036460433976
411710	0.361012745018956
411711	0.361012745018956
411712	0.385175979100043
411713	0.387152263685022
411714	0.38112856388252
411715	0.375135178386029
411716	0.36269971012758
411717	0.35625611490293
411718	0.333553545732969
411719	0.33332724553547
411720	0.333456309018571
411721	0.337344346446981
411722	0.363578711160608
411723	0.365425932262488
411724	0.355352426575628
411725	0.349037894834078
411726	0.349037894834078
411727	0.359173541595652
411728	0.340973378705046
411729	0.340844315221945
411730	0.352831086214927
411731	0.362742823445839
411732	0.374759908744832
411733	0.376736193329812
411734	0.396979563213785
411735	0.382857129846711
411736	0.349725691309292
411737	0.349725691309292
411738	0.349630845261731
411739	0.345357129846711
411740	0.37767972610439
411741	0.38182437803631
411742	0.396300662621289
411743	0.388234634029565
411744	0.378032064859604
411745	0.388072865573617
411746	0.394387397315167
411747	0.404654498226678
411748	0.420753216178733
411749	0.4064387000497
411750	0.375928229254216
411751	0.372072896798653
411752	0.338911143955223
411753	0.324693864540589
411754	0.324532096084641
411755	0.320484680867119
411756	0.32252549719365
411757	0.322559714629189
411758	0.33435289039752
411759	0.329852874785002
411760	0.325481922655586
411761	0.311134701553706
411762	0.313110986138686
411763	0.313110986138686
411764	0.304755638070605
411765	0.294938746887255
411766	0.305044079342817
411767	0.298955847798765
411768	0.284995182887639
411769	0.286680635533571
411770	0.28470435094859
411771	0.28470435094859
411772	0.286745167275121
411773	0.288785983601652
411774	0.288656920118551
411775	0.310874183920668
411776	0.329173095988364
411777	0.324865163137804
411778	0.344944373898992
411779	0.340991804729032
411780	0.363306305245546
411781	0.387499853632642
411782	0.377103689238031
411783	0.375062872911501
411784	0.387114175646033
411785	0.385073359319502
411786	0.386985112162933
411787	0.388896865006362
411788	0.386663965917873
411789	0.388575718761303
411790	0.402666325359674
411791	0.380449061557557
411792	0.426957110461168
411793	0.424851762393087
411794	0.434765012086691
411795	0.442508381970664
411796	0.436193850229114
411797	0.456467534419097
411798	0.458379287262527
411799	0.454297654609466
411800	0.452192306541385
411801	0.445942306541385
411802	0.445942306541385
411803	0.452030538085436
411804	0.474247801887553
411805	0.46207133879945
411806	0.458439915874548
411807	0.456399099548017
411808	0.458054237887939
411809	0.468159570343501
411810	0.472112139513462
411811	0.473926655642494
411812	0.472014902799064
411813	0.468062333629104
411814	0.455980716588561
411815	0.456174311813212
411816	0.456174311813212
411817	0.425892531882063
411818	0.424109842521734
411819	0.402373102753788
411820	0.406582286427257
411821	0.41471133429784
411822	0.414454719794331
411823	0.408140188052781
411824	0.420221805093324
411825	0.422198089678305
411826	0.426053422133867
411827	0.424077137548887
411828	0.421842725997705
411829	0.419737377929624
411830	0.401470292630631
411831	0.415399130773054
411832	0.419575609473676
411833	0.419284777534628
411834	0.421325593861158
411835	0.411317498119993
411836	0.421550381595964
411837	0.419445033527883
411838	0.411025153718251
411839	0.408856786371313
411840	0.408792254629762
411841	0.388710653201737
411842	0.388710653201737
411843	0.376598721855184
411844	0.370669868100242
411845	0.366460684426773
411846	0.358426482603751
411847	0.338540867067215
411848	0.344501547590858
411849	0.346414812896981
411850	0.336052865937909
411851	0.334046267046919
411852	0.336117397679459
411853	0.380489784208979
411854	0.382756900733008
411855	0.378804331563047
411856	0.384989799821497
411857	0.381037230651536
411858	0.377181898195973
411859	0.373388706815124
411860	0.373388706815124
411861	0.373388706815124
411862	0.371347890488594
411863	0.369050459658554
411864	0.380908167168436
411865	0.374658167168435
411866	0.368472698909986
411867	0.386578015753031
411868	0.388747895562662
411869	0.3782871994265
411870	0.358076534515375
411871	0.349593635426885
411872	0.367830406419868
411873	0.371912039072928
411874	0.371912039072928
411875	0.379849004181553
411876	0.385713326194943
411877	0.406116073868027
411878	0.422309637867642
411879	0.44076792772445
411880	0.42801131322094
411881	0.432282637969123
411882	0.424218121840091
411883	0.422112773772011
411884	0.430112758159492
411885	0.436653590098541
411886	0.420265552670131
411887	0.430661717064743
411888	0.430532653581642
411889	0.43901555267013
411890	0.43499845175862
411891	0.437136504799548
411892	0.443386504799548
411893	0.439048257642978
411894	0.457028414132451
411895	0.47163224973784
411896	0.465574332499799
411897	0.461557231588288
411898	0.463598047914818
411899	0.467871763329838
411900	0.481865133213811
411901	0.48180060147226
411902	0.487955755424699
411903	0.48552926111156
411904	0.485434415063998
411905	0.487410699648979
411906	0.483136984233959
411907	0.487154085145469
411908	0.485113268818939
411909	0.464484220948357
411910	0.470443389009308
411911	0.466234205335838
411912	0.448193420234344
411913	0.466298737077389
411914	0.443145958179268
411915	0.457268391546342
411916	0.497914509103399
411917	0.508310673498011
411918	0.55300420627259
411919	0.556955262979858
411920	0.546752693809897
411921	0.536742207401895
411922	0.504514457191776
411923	0.500561888021816
411924	0.516723625252728
411925	0.526861662681138
411926	0.518827460858116
411927	0.506715529511562
411928	0.496448428600052
411929	0.4904892605391
411930	0.482196053545733
411931	0.459976399076779
411932	0.447765718553136
411933	0.447539418355637
411934	0.406311636920483
411935	0.404335352335503
411936	0.4294325890499
